,e,de,dl,freq,prob,T
1,0.05056966700679891,0.09113933401359782,0.3217227601895249,0.049212457473453604,0.04802114681024228,20.320058199479764
2,0.1417090010203967,0.09113933401359782,0.01417841760266421,0.015301244791052214,0.015184775543156115,65.35415998211957
3,0.23284833503399455,0.09113933401359778,0.004654530687432259,0.007667437978436822,0.007638118159680296,130.42166142227762
4,0.32398766904759235,0.09113933401359786,0.0021504869614055104,0.004592864498257714,0.004582333424874574,217.72904477790414
5,0.41512700306119016,0.0911393340135978,0.0011848036684193194,0.0030228109927766035,0.003018246899582855,330.81790505249216
6,0.506266337074788,0.08582362434918378,0.0006913121159368742,0.0021052633412914083,0.0021030488287399063,474.9999586211296
7,0.5855908982954401,0.07814120775653421,0.0004282168318873517,0.0015847967238631945,0.001583541596663296,630.9957516585097
8,0.6637321060519743,0.07814120775653421,0.0003081022029629806,0.0012229314930698972,0.001222184017086514,817.707292409097
9,0.7418733138085084,0.07814120775653421,0.00022760714413849216,0.0009588806984624015,0.0009584211192710246,1042.8826042734354
10,0.8200145215650425,0.07814120775653421,0.00017164267761756206,0.0007616785265718135,0.0007613885231173567,1312.8898414674118
11,0.8981557293215767,0.0781412077565341,0.0001315940870903632,0.0006116682075506583,0.0006114811766881889,1634.8732656947518
12,0.9762969370781109,0.07814120775653399,0.00010228511489225232,0.0004958335667323956,0.0004957106615838258,2016.805773336653
13,1.0556214982987628,0.08253652062325778,8.44291049895494e-05,0.00040403666215867927,0.0004039550503383005,2475.0229215765207
14,1.1401866248605086,0.08456512656174553,6.76763314682114e-05,0.00032750566131776744,0.00032745203719286575,3053.382332312523
15,1.224751751422254,0.08456512656174575,5.332392573184188e-05,0.0002675053918653382,0.0002674696154881806,3738.2424071040723
16,1.3093168779839996,0.08456512656174553,4.2400874195969276e-05,0.00022000657114230917,0.00021998237147136113,4545.318782106556
