Driver,BldgRepair,BldgRedTag,BldgInjury
DMG-B1031.001,B1031.001,,
DMG-B1031.011c,B1031.011c,,
DMG-B1035.001,B1035.001,,
DMG-B1035.011,B1035.011,,
DMG-B2011.101,B2011.101,,
DMG-B2022.001,B2022.001,,
DMG-B3011.011,B3011.011,,
DMG-C1011.001a,C1011.001a,,
DMG-C2011.001a,C2011.001a,,
DMG-C3021.001k1,C3021.001k1,,
DMG-C3021.001k2,C3021.001k2,,
DMG-C3021.001k3,C3021.001k3,,
DMG-C3027.001,C3027.001,,
DMG-C3032.001b,C3032.001b,,
DMG-C3032.001d,C3032.001d,,
DMG-C3034.001,C3034.001,,
DMG-D1014.011,D1014.011,,
DMG-D2021.011a1,D2021.011a1,,
DMG-D2021.011a2,D2021.011a2,,
DMG-D2021.011a3,D2021.011a3,,
DMG-D2031.013b,D2031.013b,,
DMG-D3031.011a,D3031.011a,,
DMG-D3031.021a,D3031.021a,,
DMG-D3041.011a,D3041.011a,,
DMG-D3041.012a,D3041.012a,,
DMG-D3041.031a,D3041.031a,,
DMG-D3041.041a,D3041.041a,,
DMG-D3041.101a,D3041.101a,,
DMG-D3052.011a,D3052.011a,,
DMG-D4011.021a1,D4011.021a1,,
DMG-D4011.021a2,D4011.021a2,,
DMG-D4011.021a3,D4011.021a3,,
DMG-D4011.031a,D4011.031a,,
DMG-D5011.011a,D5011.011a,,
DMG-D5012.013a,D5012.013a,,
DMG-D5012.021a,D5012.021a,,
DMG-D5012.031a,D5012.031a,,
DMG-E2022.001,E2022.001,,
DMG-E2022.023,E2022.023,,
DMG-E2022.102a,E2022.102a,,
DMG-E2022.112a,E2022.112a,,
DMG-collapse,replacement,,
DMG-irreparable,replacement,,
